id,name,score1,score2
1,Stuednt_1,86,85
2,Stuednt_2,70,67
3,Stuednt_3,89,78
4,Stuednt_4,79,60
5,Stuednt_5,100,83
6,Stuednt_6,70,58
7,Stuednt_7,95,72
8,Stuednt_8,64,90
9,Stuednt_9,54,69
10,Stuednt_10,71,63
11,Stuednt_11,61,74
12,Stuednt_12,73,98
13,Stuednt_13,96,78
14,Stuednt_14,98,62
15,Stuednt_15,58,75
16,Stuednt_16,53,85
17,Stuednt_17,61,82
18,Stuednt_18,52,100
19,Stuednt_19,100,82
20,Stuednt_20,72,97
21,Stuednt_21,68,71
22,Stuednt_22,99,66
23,Stuednt_23,87,87
24,Stuednt_24,55,66
25,Stuednt_25,80,56
26,Stuednt_26,80,100
27,Stuednt_27,79,76
28,Stuednt_28,78,93
29,Stuednt_29,94,71
30,Stuednt_30,71,74
31,Stuednt_31,89,73
32,Stuednt_32,82,63
33,Stuednt_33,75,56
34,Stuednt_34,96,88
35,Stuednt_35,55,96
36,Stuednt_36,64,88
37,Stuednt_37,86,68
38,Stuednt_38,70,64
39,Stuednt_39,75,51
40,Stuednt_40,84,74
41,Stuednt_41,73,83
42,Stuednt_42,66,70
43,Stuednt_43,80,76
44,Stuednt_44,95,58
45,Stuednt_45,80,83
46,Stuednt_46,70,83
47,Stuednt_47,95,71
48,Stuednt_48,79,62
49,Stuednt_49,87,69
50,Stuednt_50,63,77
51,Stuednt_51,52,85
52,Stuednt_52,86,90
53,Stuednt_53,61,68
54,Stuednt_54,69,81
55,Stuednt_55,85,100
56,Stuednt_56,57,66
57,Stuednt_57,85,66
58,Stuednt_58,87,97
59,Stuednt_59,76,59
60,Stuednt_60,75,86
61,Stuednt_61,86,99
62,Stuednt_62,93,67
63,Stuednt_63,67,69
64,Stuednt_64,69,78
65,Stuednt_65,63,81
66,Stuednt_66,78,54
67,Stuednt_67,82,71
68,Stuednt_68,65,62
69,Stuednt_69,55,85
70,Stuednt_70,85,54
71,Stuednt_71,64,61
72,Stuednt_72,87,55
73,Stuednt_73,62,80
74,Stuednt_74,89,71
75,Stuednt_75,71,81
76,Stuednt_76,96,71
77,Stuednt_77,87,96
78,Stuednt_78,65,82
79,Stuednt_79,69,88
80,Stuednt_80,51,56
81,Stuednt_81,76,99
82,Stuednt_82,57,62
83,Stuednt_83,98,69
84,Stuednt_84,79,75
85,Stuednt_85,85,69
86,Stuednt_86,93,65
87,Stuednt_87,56,52
88,Stuednt_88,76,97
89,Stuednt_89,95,95
90,Stuednt_90,99,72
91,Stuednt_91,57,81
92,Stuednt_92,74,71
93,Stuednt_93,61,97
94,Stuednt_94,56,73
95,Stuednt_95,91,80
96,Stuednt_96,55,59
97,Stuednt_97,98,72
98,Stuednt_98,67,97
99,Stuednt_99,61,50
100,Stuednt_100,73,91
101,Stuednt_101,52,76
102,Stuednt_102,55,95
103,Stuednt_103,50,51
104,Stuednt_104,78,94
105,Stuednt_105,84,67
106,Stuednt_106,83,78
107,Stuednt_107,69,68
108,Stuednt_108,90,91
109,Stuednt_109,54,95
110,Stuednt_110,99,73
111,Stuednt_111,76,56
112,Stuednt_112,72,95
113,Stuednt_113,60,55
114,Stuednt_114,95,87
115,Stuednt_115,89,53
116,Stuednt_116,99,91
117,Stuednt_117,69,54
118,Stuednt_118,93,94
